Name,Category,Day,Year
Lili,Category 1 hurricane,October 3,2002
Cindy,Category 1 hurricane,July 6,2005
Katrina[7],Category 3 hurricane,August 29,2005
Rita,Category 3 hurricane,September 24,2005
Humberto,Category 1 hurricane,September 13,2007
Gustav,Category 2 hurricane,September 1,2008
Isaac,Category 1 hurricane,August 28,2012
Nate,Category 1 hurricane,October 7,2017
Barry,Category 1 hurricane,July 13,2019
Laura,Category 4 hurricane,August 27,2020
Delta,Category 2 hurricane,October 9,2020
Zeta,Category 3 hurricane,October 28,2020
Ida,Category 4 hurricane,August 29,2021
Francine,Category 2 hurricane,September 11,2024
